epoch,loss,accuracy,tp_0,fp_0,fn_0,tn_0,tp_1,fp_1,fn_1,tn_1,val_loss,val_accuracy,val_tp_0,val_fp_0,val_fn_0,val_tn_0,val_tp_1,val_fp_1,val_fn_1,val_tn_1,timestamp,epoch_time_sec,max_mem_mb
27,0.09948743112915055,0.9688769751693003,22161,793,310,12174,12174,310,793,22161,0.09196906155439542,0.9714068825910931,2522,88,25,1302,1302,25,88,2522,2026-08-27 15:12:11,120.95,550.62
28,0.10446804571207234,0.9663656884875846,22157,878,314,12089,12089,314,878,22157,0.10491709372225248,0.9633097165991903,2519,117,28,1273,1273,28,117,2519,2026-08-27 15:14:12,120.76,550.62
29,0.1031467949817037,0.9687278297323443,22162,799,309,12168,12168,309,799,22162,0.0935248720642511,0.9698886639676113,2514,86,33,1304,1304,33,86,2514,2026-08-27 15:16:12,120.6,550.62
30,0.10022608615661935,0.9687923250564334,22158,793,313,12174,12174,313,793,22158,0.10080065222754923,0.9686234817813765,2534,111,13,1279,1279,13,111,2534,2026-08-27 15:18:13,120.86,550.62
31,0.10379135933795074,0.9673250564334086,22146,833,325,12134,12134,325,833,22146,0.10656674779755504,0.9663461538461539,2536,122,11,1268,1268,11,122,2536,2026-08-27 15:20:14,120.85,550.62
32,0.09830689920815713,0.9686230248306997,22164,805,307,12162,12162,307,805,22164,0.10793232182666485,0.9640688259109311,2508,103,39,1287,1287,39,103,2508,2026-08-27 15:22:15,120.77,550.62
33,0.10336624224219286,0.9660512737826508,22107,839,364,12128,12128,364,839,22107,0.10758459922736925,0.9630566801619433,2517,116,30,1274,1274,30,116,2517,2026-08-27 15:24:16,120.96,550.62
34,0.10989659529034275,0.9644147049338924,22140,930,331,12037,12037,331,930,22140,0.13887917040752978,0.9496457489878543,2459,111,88,1279,1279,88,111,2459,2026-08-27 15:26:17,120.97,550.62
35,0.13532878970254306,0.9543977749113189,21980,1125,491,11842,11842,491,1125,21980,0.15675441564818626,0.9478744939271255,2456,115,91,1275,1275,91,115,2456,2026-08-27 15:28:18,121.01,550.62
36,0.12757310053190682,0.9584367945823927,22105,1107,366,11860,11860,366,1107,22105,0.11580762155504845,0.9620445344129555,2504,107,43,1283,1283,43,107,2504,2026-08-27 15:30:19,121.22,550.62
37,0.11049196356571117,0.9652612060625605,22150,910,321,12057,12057,321,910,22150,0.10625243980395334,0.9678643724696356,2507,87,40,1303,1303,40,87,2507,2026-08-27 15:32:20,121.0,550.62
38,0.09901622021749498,0.9688729442115447,22181,813,290,12154,12154,290,813,22181,0.12292349573435933,0.9612854251012146,2442,48,105,1342,1342,105,48,2442,2026-08-27 15:34:21,120.97,550.62
