2,0.135448435803037,0.9538303693570451,7304,413,127,3850,3850,127,413,7304,0.1515669139999489,0.9420546558704453,2488,217,12,1220,1220,12,217,2488,2026-08-26 21:32:23,117.56,550.62
3,0.1249711230771792,0.9573236271252688,7312,380,119,3883,3883,119,380,7312,0.1751113554164918,0.9433198380566802,2402,126,98,1311,1311,98,126,2402,2026-08-26 21:32:42,117.13,550.62
epoch,loss,accuracy,tp_0,fp_0,fn_0,tn_0,tp_1,fp_1,fn_1,tn_1,val_loss,val_accuracy,val_tp_0,val_fp_0,val_fn_0,val_tn_0,val_tp_1,val_fp_1,val_fn_1,val_tn_1,timestamp,epoch_time_sec,max_mem_mb
1,0.2566426274533576,0.9094317959742036,7278,906,153,3357,3357,153,906,7278,0.21882112806866527,0.937753036437247,2497,243,3,1194,1194,3,243,2497,2026-08-26 21:33:14,123.05,550.62
3,0.1437656057867312,0.9515707445769006,7313,448,118,3815,3815,118,448,7313,0.1428086656430427,0.951163967611336,2468,161,32,1276,1276,32,161,2468,2026-08-26 21:34:25,122.15,550.62
4,0.14576615417623323,0.9522058823529411,7295,423,136,3840,3840,136,423,7295,0.19127510454852573,0.937246963562753,2424,172,76,1265,1265,76,172,2424,2026-08-26 21:34:44,122.1,550.62
2,0.15807426747803546,0.9460499316005472,7321,521,110,3742,3742,110,521,7321,0.14700103079832275,0.9529352226720648,2467,153,33,1284,1284,33,153,2467,2026-08-26 21:35:16,122.15,550.62
4,0.14852712965008538,0.9534028727770177,7332,446,99,3817,3817,99,446,7332,0.1322013617989038,0.957995951417004,2440,106,60,1331,1331,60,106,2440,2026-08-26 21:36:28,122.75,550.62
5,0.13657195255715812,0.9565663474692202,7324,401,107,3862,3862,107,401,7324,0.1352830279150955,0.9542004048582996,2461,142,39,1295,1295,39,142,2461,2026-08-26 21:36:47,122.7,550.62
3,0.136239598849508,0.9537204416650381,7319,429,112,3834,3834,112,429,7319,0.16433980059055875,0.9463562753036437,2383,95,117,1342,1342,117,95,2383,2026-08-26 21:37:19,122.32,550.62
5,0.1261842260844292,0.958703830369357,7310,362,121,3901,3901,121,362,7310,0.1329006657705676,0.9506578947368421,2468,163,32,1274,1274,32,163,2468,2026-08-26 21:38:28,120.17,550.62
6,0.15768749975897473,0.9474179206566348,7324,508,107,3755,3755,107,508,7324,0.19317319737709607,0.9458502024291497,2485,199,15,1238,1238,15,199,2485,2026-08-26 21:38:47,119.97,550.62
4,0.1736744038398198,0.9450239398084815,7343,555,88,3708,3708,88,555,7343,0.21067071982813992,0.9326923076923077,2398,164,102,1273,1273,102,164,2398,2026-08-26 21:39:19,120.52,550.62
6,0.12994535586133563,0.9562243502051984,7306,387,125,3876,3876,125,387,7306,0.14979153781043372,0.9501518218623481,2480,177,20,1260,1260,20,177,2480,2026-08-26 21:40:31,122.68,550.62
7,0.18351482311658632,0.939124487004104,7306,587,125,3676,3676,125,587,7306,0.2280525434309775,0.9311740890688259,2492,264,8,1173,1173,8,264,2492,2026-08-26 21:40:50,122.59,550.62
5,0.16889035479750397,0.9447674418604651,7342,557,89,3706,3706,89,557,7342,0.1526718853788096,0.9410425101214575,2446,179,54,1258,1258,54,179,2446,2026-08-26 21:41:21,122.02,550.62
7,0.11514856931262951,0.9618673050615595,7311,326,120,3937,3937,120,326,7311,0.12027663609337227,0.9630566801619433,2467,113,33,1324,1324,33,113,2467,2026-08-26 21:42:31,119.81,550.62
8,0.17426915796124537,0.9435582372483877,7357,586,74,3677,3677,74,586,7357,0.17486629539323964,0.9364878542510121,2491,242,9,1195,1195,9,242,2491,2026-08-26 21:42:49,119.58,550.62
6,0.13284752245134993,0.9560533515731874,7327,410,104,3853,3853,104,410,7327,0.11978042656027897,0.9648279352226721,2462,101,38,1336,1336,38,101,2462,2026-08-26 21:43:22,120.79,550.62
8,0.10900711914825109,0.9635650771936682,7302,297,129,3966,3966,129,297,7302,0.12482764556068882,0.9564777327935222,2478,150,22,1287,1287,22,150,2478,2026-08-26 21:44:34,122.96,550.62
9,0.1691662803835015,0.9439124487004104,7353,578,78,3685,3685,78,578,7353,0.23557288382911248,0.9268724696356275,2489,278,11,1159,1159,11,278,2489,2026-08-26 21:44:52,122.98,550.62
7,0.1162809980867581,0.9644322845417237,7335,320,96,3943,3943,96,320,7335,0.12859035705061636,0.958755060728745,2479,142,21,1295,1295,21,142,2479,2026-08-26 21:45:25,122.86,550.62
9,0.13389116339162552,0.9545998632010944,7298,398,133,3865,3865,133,398,7298,0.15019628215064615,0.9425607287449392,2478,205,22,1232,1232,22,205,2478,2026-08-26 21:46:35,121.22,550.62
10,0.1860971023677689,0.9409199726402189,7367,627,64,3636,3636,64,627,7367,0.21451382990172396,0.9331983805668016,2492,256,8,1181,1181,8,256,2492,2026-08-26 21:46:53,120.57,550.62
8,0.14521528623371338,0.9549418604651163,7337,433,94,3830,3830,94,433,7337,0.15311815152284106,0.9496457489878543,2483,182,17,1255,1255,17,182,2483,2026-08-26 21:47:25,119.89,550.62
10,0.12653696518544255,0.9581053351573188,7297,356,134,3907,3907,134,356,7297,0.1294164581371373,0.958755060728745,2462,125,38,1312,1312,38,125,2462,2026-08-26 21:48:37,122.09,550.62
11,0.14448003744051655,0.9505813953488372,7324,471,107,3792,3792,107,471,7324,0.15564803753485565,0.9481275303643725,2423,128,77,1309,1309,77,128,2423,2026-08-26 21:48:56,122.62,550.62
9,0.15933416494156874,0.9478454172366622,7337,516,94,3747,3747,94,516,7337,0.17670011681104872,0.9397773279352226,2491,229,9,1208,1208,9,229,2491,2026-08-26 21:49:28,122.45,550.62
11,0.10744181151785945,0.9646032831737346,7323,306,108,3957,3957,108,306,7323,0.14365393745709165,0.9531882591093117,2396,81,104,1356,1356,104,81,2396,2026-08-26 21:50:39,122.13,550.62
12,0.13913134100659663,0.9523768809849521,7311,437,120,3826,3826,120,437,7311,0.14018436983559537,0.9536943319838057,2427,110,73,1327,1327,73,110,2427,2026-08-26 21:50:57,121.91,550.62
10,0.15984059675378795,0.9471614227086184,7343,530,88,3733,3733,88,530,7343,0.17423671998483267,0.9380060728744939,2486,231,14,1206,1206,14,231,2486,2026-08-26 21:51:30,122.68,550.62
12,0.14394446031098723,0.949811901504788,7294,450,137,3813,3813,137,450,7294,0.17657444030348107,0.937753036437247,2423,169,77,1268,1268,77,169,2423,2026-08-26 21:52:42,122.49,550.62
13,0.12782903867913856,0.959546609341411,7332,374,99,3889,3889,99,374,7332,0.15117963014909552,0.9504048582995951,2484,180,16,1257,1257,16,180,2484,2026-08-26 21:53:00,122.5,550.62
11,0.1413018666516745,0.952718878248974,7328,450,103,3813,3813,103,450,7328,0.19289760140754916,0.9466093117408907,2382,93,118,1344,1344,118,93,2382,2026-08-26 21:53:33,122.2,550.62
13,0.1423381623390313,0.9495431893687708,7283,442,148,3821,3821,148,442,7283,0.14817117747703665,0.9473684210526315,2420,128,80,1309,1309,80,128,2420,2026-08-26 21:54:43,121.52,550.62
14,0.1304574046441941,0.9561266367011921,7322,404,109,3859,3859,109,404,7322,0.14164774181125195,0.9554655870445344,2457,133,43,1304,1304,43,133,2457,2026-08-26 21:55:02,121.79,550.62
12,0.15109499694146317,0.9516928864569083,7329,463,102,3800,3800,102,463,7329,0.20443319625820708,0.9352226720647774,2489,245,11,1192,1192,11,245,2489,2026-08-26 21:55:35,122.11,550.62
14,0.1426388075105112,0.9493721907367598,7271,432,160,3831,3831,160,432,7271,0.15698805510024974,0.9458502024291497,2472,186,28,1251,1251,28,186,2472,2026-08-26 21:56:46,122.38,550.62
15,0.11645234398328522,0.960389388313465,7301,333,130,3930,3930,130,333,7301,0.1189695483715526,0.9617914979757085,2441,92,59,1345,1345,59,92,2441,2026-08-26 21:57:04,122.74,550.62
13,0.16061205763902348,0.9479309165526676,7363,541,68,3722,3722,68,541,7363,0.20966544216838082,0.9382591093117408,2485,229,15,1208,1208,15,229,2485,2026-08-26 21:57:37,122.35,550.62
15,0.13011336057458364,0.9538303693570451,7275,384,156,3879,3879,156,384,7275,0.1450839994127885,0.9468623481781376,2441,151,59,1286,1286,59,151,2441,2026-08-26 21:58:48,121.94,550.62
16,0.1164655188199199,0.9612199530975181,7301,323,130,3940,3940,130,323,7301,0.19360491225443147,0.9463562753036437,2487,199,13,1238,1238,13,199,2487,2026-08-26 21:59:07,121.98,550.62
14,0.16267393072098799,0.9445720148524527,7307,524,124,3739,3739,124,524,7307,0.2616134040709962,0.9268724696356275,2496,285,4,1152,1152,4,285,2496,2026-08-26 21:59:39,122.09,550.62
16,0.1306675116046779,0.9514852452608952,7269,405,162,3858,3858,162,405,7269,0.13221325626340413,0.9471153846153846,2481,190,19,1247,1247,19,190,2481,2026-08-26 22:00:50,122.43,550.62
17,0.15637316860203795,0.9473079929646278,7278,463,153,3800,3800,153,463,7278,0.18058723616998204,0.9357287449392713,2492,246,8,1191,1191,8,246,2492,2026-08-26 22:01:09,122.42,550.62
15,0.16770397239172305,0.9450239398084815,7343,555,88,3708,3708,88,555,7343,0.20431153617503767,0.9359817813765182,2487,240,13,1197,1197,13,240,2487,2026-08-26 22:01:42,122.78,550.62
17,0.11750360590465642,0.9589481141293728,7286,335,145,3928,3928,145,335,7286,0.16618322010947625,0.9478744939271255,2488,194,12,1243,1243,12,194,2488,2026-08-26 22:02:52,122.37,550.62
18,0.14366502945837545,0.9503004690248192,7312,462,119,3801,3801,119,462,7312,0.16081444438578002,0.9380060728744939,2497,242,3,1195,1195,3,242,2497,2026-08-26 22:03:11,122.27,550.62
16,0.1701008304953575,0.9418116083642759,7319,568,112,3695,3695,112,568,7319,0.22880081195188195,0.9271255060728745,2499,287,1,1150,1150,1,287,2499,2026-08-26 22:03:44,121.96,550.62
18,0.11271477997699235,0.961171096345515,7287,310,144,3953,3953,144,310,7287,0.11029534455709751,0.9620445344129555,2474,124,26,1313,1313,26,124,2474,2026-08-26 22:04:55,122.54,550.62
19,0.12631504379770886,0.9562243502051984,7320,401,111,3862,3862,111,401,7320,0.11893207977265723,0.9602732793522267,2442,99,58,1338,1338,58,99,2442,2026-08-26 22:05:14,122.32,550.62
17,0.20390155253277023,0.9335548172757475,7348,694,83,3569,3569,83,694,7348,0.24859047915620602,0.9215587044534413,2500,310,0,1127,1127,0,310,2500,2026-08-26 22:05:46,122.45,550.62
19,0.10748844003851402,0.9638337893296853,7286,278,145,3985,3985,145,278,7286,0.11066505531799274,0.9569838056680162,2426,96,74,1341,1341,74,96,2426,2026-08-26 22:06:58,122.53,550.62
20,0.11762816976837397,0.961781805745554,7318,334,113,3929,3929,113,334,7318,0.12205763599071331,0.9628036437246964,2446,93,54,1344,1344,54,93,2446,2026-08-26 22:07:16,122.54,550.62
18,0.1854825953783521,0.940297049052179,7374,641,57,3622,3622,57,641,7374,0.18085710422797147,0.9400303643724697,2480,217,20,1220,1220,20,217,2480,2026-08-26 22:07:49,122.28,550.62
20,0.11465898098643212,0.959045827633379,7282,330,149,3933,3933,149,330,7282,0.11950071282632486,0.9557186234817814,2420,95,80,1342,1342,80,95,2420,2026-08-26 22:09:00,121.88,550.62
