epoch,loss,accuracy,tp_0,fp_0,fn_0,tn_0,tp_1,fp_1,fn_1,tn_1,val_loss,val_accuracy,val_tp_0,val_fp_0,val_fn_0,val_tn_0,val_tp_1,val_fp_1,val_fn_1,val_tn_1,timestamp,epoch_time_sec,max_mem_mb
10,0.08366997795195093,0.9726829685362517,14554,418,221,8196,8196,221,418,14554,0.09827231836452446,0.9645748987854251,2441,34,106,1356,1356,106,34,2441,2026-08-27 04:52:20,234.81,550.62
9,0.13290406735620314,0.9563427338735137,14534,780,241,7834,7834,241,780,14534,0.12256954688586386,0.9592611336032388,2447,61,100,1329,1329,100,61,2447,2026-08-27 04:53:07,234.87,550.62
10,0.13645120512769926,0.9542907502893823,14525,819,250,7795,7795,250,819,14525,0.15292229859520368,0.9405364372469636,2542,230,5,1160,1160,5,230,2542,2026-08-27 04:53:58,234.98,550.62
11,0.0887353364781925,0.9696904924760602,14514,448,261,8166,8166,261,448,14514,0.08563232469937561,0.972165991902834,2493,56,54,1334,1334,54,56,2493,2026-08-27 04:56:14,233.84,550.62
10,0.11409786958664671,0.9623803009575923,14530,635,245,7979,7979,245,635,14530,0.10313827439724102,0.9660931174089069,2499,86,48,1304,1304,48,86,2499,2026-08-27 04:57:01,234.06,550.62
11,0.12799176845649224,0.9571220930232558,14507,735,268,7879,7879,268,735,14507,0.11805152157246161,0.9633097165991903,2526,124,21,1266,1266,21,124,2526,2026-08-27 04:57:52,233.95,550.62
12,0.07831054320320023,0.9732288487845944,14558,409,217,8205,8205,217,409,14558,0.07462217895736398,0.9746963562753036,2514,67,33,1323,1323,33,67,2514,2026-08-27 05:00:08,234.48,550.62
11,0.11160763289184449,0.9616963064295485,14511,632,264,7982,7982,264,632,14511,0.10946066172648342,0.9572368421052632,2522,144,25,1246,1246,25,144,2522,2026-08-27 05:00:56,234.55,550.62
12,0.11649891783922232,0.9610550615595075,14522,658,253,7956,7956,253,658,14522,0.1344811973060191,0.9554655870445344,2455,84,92,1306,1306,92,84,2455,2026-08-27 05:01:46,234.48,550.62
13,0.06676181806989553,0.9783686730506156,14598,329,177,8285,8285,177,329,14598,0.07207285579735119,0.9764676113360324,2529,75,18,1315,1315,18,75,2529,2026-08-27 05:04:03,234.22,550.62
12,0.135357289995314,0.9541723666210671,14514,811,261,7803,7803,261,811,14514,0.1882716329760759,0.9266194331983806,2319,62,228,1328,1328,228,62,2319,2026-08-27 05:04:49,233.66,550.62
13,0.11429577437930176,0.9633635430916553,14548,630,227,7984,7984,227,630,14548,0.14177740216707652,0.951163967611336,2538,184,9,1206,1206,9,184,2538,2026-08-27 05:05:40,233.74,550.62
14,0.07681746458397126,0.9751196990424077,14581,388,194,8226,8226,194,388,14581,0.08600051232673951,0.9703947368421053,2523,93,24,1297,1297,24,93,2523,2026-08-27 05:07:57,234.07,550.62
13,0.11464950895840213,0.9624658002735978,14524,627,251,7987,7987,251,627,14524,0.09455499661943087,0.9681174089068826,2510,89,37,1301,1301,37,89,2510,2026-08-27 05:08:43,233.73,550.62
14,0.1152355742123852,0.9622948016415869,14533,640,242,7974,7974,242,640,14533,0.13731588494138197,0.9549595141700404,2480,111,67,1279,1279,67,111,2480,2026-08-27 05:09:34,233.86,550.62
15,0.1801578433559596,0.9398841155424603,14552,1183,223,7431,7431,223,1183,14552,0.1853629783793213,0.9352226720647774,2535,244,12,1146,1146,12,244,2535,2026-08-27 05:11:50,233.52,550.62
14,0.10543685383004138,0.9651162790697675,14519,560,256,8054,8054,256,560,14519,0.08639768223742,0.9744433198380567,2504,58,43,1332,1332,43,58,2504,2026-08-27 05:12:37,233.7,550.62
15,0.11631319979995632,0.9612589445438282,14502,633,273,7981,7981,273,633,14502,0.13621674553464783,0.9412955465587044,2545,230,2,1160,1160,2,230,2545,2026-08-27 05:13:27,233.55,550.62
16,0.16692758669277905,0.9425444596443229,14542,1111,233,7503,7503,233,1111,14542,0.15261604419724661,0.944331983805668,2478,151,69,1239,1239,69,151,2478,2026-08-27 05:15:44,233.36,550.62
15,0.12283774699952718,0.9591214616436915,14516,697,259,7917,7917,259,697,14516,0.21112175438899985,0.9319331983805668,2546,268,1,1122,1122,1,268,2546,2026-08-27 05:16:32,234.69,550.62
16,0.17368258292934566,0.9403543617804904,14533,1153,242,7461,7461,242,1153,14533,0.19973993673920631,0.9349696356275303,2407,117,140,1273,1273,140,117,2407,2026-08-27 05:17:21,233.7,550.62
17,0.17577904201572617,0.9404826107544986,14527,1144,248,7470,7470,248,1144,14527,0.20310157146832722,0.9342105263157895,2544,257,3,1133,1133,3,257,2544,2026-08-27 05:19:37,233.3,550.62
16,0.11289814866126277,0.9630215458276333,14549,639,226,7975,7975,226,639,14549,0.1065235900869857,0.9698886639676113,2506,78,41,1312,1312,41,78,2506,2026-08-27 05:20:25,233.49,550.62
17,0.15984252271676888,0.942833841944649,14510,1072,265,7542,7542,265,1072,14510,0.1534199376613173,0.9463562753036437,2516,181,31,1209,1209,31,181,2516,2026-08-27 05:21:16,234.84,550.62
18,0.1706140624612784,0.9427483426286436,14601,1165,174,7449,7449,174,1165,14601,0.19989129544805118,0.9364878542510121,2542,246,5,1144,1144,5,246,2542,2026-08-27 05:23:31,234.26,550.62
